,text,ward,district,province
0,"TT Tân Bình Huyện Yên Sơn, Tuyên Quang",Tân Bình,Yên Sơn,Tuyên Quang
1,"357/28,Ng-T- Thuật,P1,Q3,TP.HồChíMinh.",,,Hồ Chí Minh
2,"284DBis Ng Văn Giáo, P3, Mỹ Tho, T.Giang.",3,Mỹ Tho,Tiền Giang
3,"Nà Làng Phú Bình, Chiêm Hoá, Tuyên Quang",Phú Bình,Chiêm Hóa,Tuyên Quang
4,"59/12 Ng-B-Khiêm, Đa Kao Quận 1, TP. Hồ Chí Minh",Đa Kao,1,Hồ Chí Minh
5,"46/8F Trung Chánh 2 Trung Chánh, Hóc Môn, TP. Hồ Chí Minh",Trung Chánh,Hóc Môn,Hồ Chí Minh
6,"T18,Cẩm Bình, Cẩm Phả, Quảng Ninh.",Cẩm Bình,Cẩm Phả,Quảng Ninh
7,"Thanh Long, Yên Mỹ Hưng Yên",Thanh Long,Yên Mỹ,Hưng Yên
8,"D2, Thạnh Lợi, Vĩnh Thạnh Cần Thơ",Thạnh Lợi,Vĩnh Thạnh,Cần Thơ
9,"Cổ Lũy Hải Ba, Hải Lăng, Quảng Trị",Hải Ba,Hải Lăng,Quảng Trị
10,"Khu phố 4 Thị trấn, Dương Minh Châu, Tây Ninh",,Dương Minh Châu,Tây Ninh
11,"Khu phố 3, Trảng Dài, Thành phố Biên Hòa, Đồng Nai.",Trảng Dài,Biên Hòa,Đồng Nai
12,"Số Nhà 38, Tổ 9 Tô Hiệu, Thành phố Sơn La, Sơn La",Tô Hiệu,Sơn La,Sơn La
13,"CH F1614-HH2-Khu ĐTM Dương Nội, Yên Nghĩa, Hà Đông, Hà Nội",Yên Nghĩa,Hà Đông,Hà Nội
14,"Khu 3 Suối Hoa, Thành phố Bắc Ninh, Bắc Ninh",Suối Hoa,Bắc Ninh,Bắc Ninh
15,"Phú Lộc Phú Thạnh, Phú Tân, An Giang",Phú Thạnh,Phú Tân,An Giang
16,"Nguyễn Khuyến Thị trấn Vĩnh Trụ, Lý Nhân, Hà Nam",Vĩnh Trụ,Lý Nhân,Hà Nam
17,"Nam chính Tiền hải, Thái bình",Nam Chính,Tiền Hải,Thái Bình
18,"Đá Hàng Hiệp Thạnh, Gò Dầu, Tây Ninh",Hiệp Thạnh,Gò Dầu,Tây Ninh
19,"371/11 Thoại Ngọc Hầu Hiệp Tân, Tân Phú, TP. Hồ Chí Minh",Hiệp Tân,Tân Phú,Hồ Chí Minh
20,"Số 93, khu phố 9, thị trấn Hai Riêng, Sông Hinh, Phú Yên.",Hai Riêng,Sông Hinh,Phú Yên
